Date,Round,Match,Home,Away,CompetitionID,MatchID
2026-04-06,3,Tromsø 2-0 Rosenborg,Tromsø,Rosenborg,beev3xu6oz7vc6l4rcxygw4d0,2xejfcgy6l79o6b6we8dxoums
2026-04-06,3,Sarpsborg 08 1-1 Start,Sarpsborg 08,Start,beev3xu6oz7vc6l4rcxygw4d0,2wy3tfsazsglwb5s9rb4lj21g
2026-04-06,3,Molde 0-1 Lillestrøm,Molde,Lillestrøm,beev3xu6oz7vc6l4rcxygw4d0,2whmb2oof6t48s51j9a9f572s
2026-04-06,3,Kristiansund 0-3 Bodø Glimt,Kristiansund,Bodø Glimt,beev3xu6oz7vc6l4rcxygw4d0,2w1d9e1tds51nh4v1y7jlpxck
2026-04-06,3,HamKam 1-5 Brann,HamKam,Brann,beev3xu6oz7vc6l4rcxygw4d0,2vl1t38h5gwbw2xrtws46vv9w
2026-04-06,3,Vålerenga 0-1 Viking,Vålerenga,Viking,beev3xu6oz7vc6l4rcxygw4d0,2v4ug5mwsb7mkhhaqs9l4r11w
2026-03-22,2,Sandefjord 0-2 Sarpsborg 08,Sandefjord,Sarpsborg 08,beev3xu6oz7vc6l4rcxygw4d0,2u63syuch9sj24eao191te5uc
2026-03-22,2,Fredrikstad 3-1 KFUM,Fredrikstad,KFUM,beev3xu6oz7vc6l4rcxygw4d0,2t9a1jvenlmurwfmf8c4dh990
2026-03-22,2,Brann 1-2 Tromsø,Brann,Tromsø,beev3xu6oz7vc6l4rcxygw4d0,2srwcrxx4dswc8dnwi79kg55g
2026-03-22,2,Rosenborg 0-2 Vålerenga,Rosenborg,Vålerenga,beev3xu6oz7vc6l4rcxygw4d0,2s9cjgjvbaqy7vbbn2kb3qtck
2026-03-21,2,Viking 4-1 Molde,Viking,Molde,beev3xu6oz7vc6l4rcxygw4d0,2rs07rqvwp5etpljiz0dembkk
2026-03-21,2,Start 1-1 Aalesund,Start,Aalesund,beev3xu6oz7vc6l4rcxygw4d0,2rbtkq5861gtgzy2fqjqatp1w
2026-03-15,1,Tromsø 4-0 Fredrikstad,Tromsø,Fredrikstad,beev3xu6oz7vc6l4rcxygw4d0,2qtlm302yfeuw8tyo6dlw6uxg
2026-03-15,1,Aalesund 1-3 Lillestrøm,Aalesund,Lillestrøm,beev3xu6oz7vc6l4rcxygw4d0,2qa08kgh7hqzc6rn0sec0se1g
2026-03-15,1,Vålerenga 1-0 Sandefjord,Vålerenga,Sandefjord,beev3xu6oz7vc6l4rcxygw4d0,2pql2mug5pwsd6hxsdk1xqiok
2026-03-15,1,KFUM 2-0 Start,KFUM,Start,beev3xu6oz7vc6l4rcxygw4d0,2oo2ke3pfihxdyab4ltye1kwk
2026-03-15,1,Kristiansund 3-2 Brann,Kristiansund,Brann,beev3xu6oz7vc6l4rcxygw4d0,2o4ur8rmp4p3wrmb527xqod1w
2026-03-14,1,Molde 2-0 Rosenborg,Molde,Rosenborg,beev3xu6oz7vc6l4rcxygw4d0,2nkfr07u19m5mm5z725cwqwb8
2026-03-14,1,HamKam 2-1 Viking,HamKam,Viking,beev3xu6oz7vc6l4rcxygw4d0,2my5f65qy8pxyo2fokc1cjfo4
